Dataset,Time,Raw Score,Percent Score,Temperature,Light,Battery Voltage
Ex_04,2024-11-14 06:30:00,-1.0,0.0,21.659230769230767,2.7076923076923083,3.93
Ex_04,2024-11-14 06:45:00,-0.9530769230769232,2.3461538461538396,21.59461538461538,2.7169230769230768,3.93
Ex_04,2024-11-14 07:00:00,-0.29750000000000004,35.125,21.595,2.725,3.93
Ex_04,2024-11-14 07:15:00,-1.0,0.0,21.580000000000005,2.707142857142857,3.93
Ex_04,2024-11-14 07:30:00,-1.0,0.0,21.69214285714286,2.710714285714286,3.93
Ex_04,2024-11-14 07:45:00,-1.0,0.0,21.747692307692304,2.708461538461539,3.93
Ex_04,2024-11-14 08:00:00,-1.0,0.0,21.761428571428578,2.725000000000001,3.93
Ex_04,2024-11-14 08:15:00,-1.0,0.0,21.727692307692305,2.7215384615384624,3.93
Ex_04,2024-11-14 08:30:00,-1.0,0.0,21.674615384615382,2.7084615384615387,3.93
Ex_04,2024-11-14 08:45:00,-1.0,0.0,21.627142857142864,2.712142857142858,3.9292857142857147
Ex_04,2024-11-14 09:00:00,-1.0,0.0,21.589999999999996,2.7353846153846155,3.926153846153846
Ex_04,2024-11-14 09:15:00,-1.0,0.0,21.558461538461536,2.7199999999999998,3.93
Ex_04,2024-11-14 09:30:00,-1.0,0.0,21.505000000000003,2.725714285714286,3.93
Ex_04,2024-11-14 09:45:00,-0.9591666666666666,2.0416666666666714,21.49,2.710833333333334,3.93
Ex_04,2024-11-14 10:00:00,-0.7742857142857144,11.285714285714285,21.524999999999995,2.7328571428571435,3.93
Ex_04,2024-11-14 10:15:00,-0.8776923076923077,6.11538461538462,21.564615384615383,2.795384615384615,3.93
Ex_04,2024-11-14 10:30:00,-1.0,0.0,21.561538461538458,2.731538461538462,3.9269230769230776
Ex_04,2024-11-14 10:45:00,-1.0,0.0,21.569230769230767,2.675384615384616,3.9292307692307693
Ex_04,2024-11-14 11:00:00,-1.0,0.0,21.569999999999997,2.7213333333333343,3.9300000000000006
Ex_04,2024-11-14 11:15:00,-1.0,0.0,21.581666666666663,2.710833333333334,3.9258333333333333
Ex_04,2024-11-14 11:30:00,-1.0,0.0,21.589999999999996,2.7150000000000007,3.9257142857142857
Ex_04,2024-11-14 11:45:00,-1.0,0.0,21.617692307692305,2.740000000000001,3.9261538461538468
Ex_04,2024-11-14 12:00:00,-1.0,0.0,21.548461538461538,2.713076923076924,3.9261538461538468
Ex_04,2024-11-14 12:15:00,-1.0,0.0,21.39461538461538,2.693076923076923,3.926153846153846
Ex_04,2024-11-14 12:30:00,-1.0,0.0,21.26615384615385,2.716153846153847,3.93
Ex_04,2024-11-14 12:45:00,-0.7649999999999999,11.750000000000007,21.19928571428571,2.369285714285714,3.924285714285715
Ex_04,2024-11-14 13:00:00,-0.8407692307692307,7.961538461538467,21.272307692307688,2.729230769230769,3.920000000000001
Ex_04,2024-11-14 13:15:00,-1.0,0.0,21.37142857142857,2.772142857142857,3.920000000000001
Ex_04,2024-11-14 13:30:00,-1.0,0.0,21.432307692307692,2.7576923076923077,3.923846153846154
Ex_04,2024-11-14 13:45:00,-1.0,0.0,21.50076923076923,2.758461538461539,3.920000000000001
Ex_04,2024-11-14 14:00:00,-1.0,0.0,21.544285714285717,1.3742857142857143,3.920000000000001
Ex_04,2024-11-14 14:15:00,-0.4499999999999999,27.500000000000004,21.597692307692302,0.030000000000000002,3.920000000000001
Ex_04,2024-11-14 14:30:00,-0.42307692307692313,28.846153846153843,21.676923076923078,0.02538461538461539,3.920000000000001
Ex_04,2024-11-14 14:45:00,-0.054285714285714284,47.285714285714285,21.67571428571429,0.02857142857142857,3.920000000000001
Ex_04,2024-11-14 15:00:00,-0.3575,32.125,21.68416666666667,0.017499999999999998,3.9200000000000004
